date,degree,university,department,location,pi,dissertation
Expected 05/2020,Ph.D.,University of Utah,Chemical Engineering,"Salt Lake City, UT",Kerry E. Kelly,Low-cost Particulate Matter and Volatile Organic Compound Sensors for Indoor and Outdoor Air Quality Monitoring.
06/2013,B.S.,Dayananda Sagar College of Engineering,Chemical Engineering ,"Bangalore, India",G. Jagadeesh (IISC Bangalore),Design Studies of an Alkaline Electrolyzer for Aerospace Applications.
